1 , 0 , 1 , 1 , 0  
1 , 1 , 1 , 1 , 1  
1 , 2 , 1 , 2 , 2  
1 , 3 , 1 , 4 , 3  
1 , 4 , 1 , 7 , 4  
1 , 5 , 1 , 11 , 5  
1 , 6 , 1 , 16 , 6  
1 , 7 , 1 , 22 , 7  
1 , 8 , 1 , 29 , 8  
1 , 9 , 1 , 37 , 9  
1 , 10 , 1 , 46 , 10  
1 , 11 , 1 , 56 , 11  
1 , 12 , 1 , 67 , 12  
1 , 13 , 1 , 79 , 13  
1 , 14 , 1 , 92 , 14  
1 , 15 , 1 , 106 , 15  
1 , 16 , 1 , 121 , 16  
1 , 17 , 1 , 137 , 17  
1 , 18 , 1 , 154 , 18  
1 , 19 , 1 , 172 , 19  
1 , 20 , 1 , 191 , 20  
1 , 21 , 1 , 211 , 21  
1 , 22 , 1 , 232 , 22  
1 , 23 , 1 , 254 , 23  
1 , 24 , 1 , 277 , 24  
1 , 25 , 1 , 301 , 25  
1 , 26 , 1 , 326 , 26  
1 , 27 , 1 , 352 , 27  
1 , 28 , 1 , 379 , 28  
1 , 29 , 1 , 407 , 29  
1 , 30 , 1 , 436 , 30  
1 , 31 , 1 , 466 , 31  
1 , 32 , 1 , 497 , 32  
1 , 33 , 1 , 529 , 33  
1 , 34 , 1 , 562 , 34  
1 , 35 , 1 , 596 , 35  
1 , 36 , 1 , 631 , 36  
1 , 37 , 1 , 667 , 37  
1 , 38 , 1 , 704 , 38  
1 , 39 , 1 , 742 , 39  
1 , 40 , 1 , 781 , 40  
1 , 41 , 1 , 821 , 41  
1 , 42 , 1 , 862 , 42  
1 , 43 , 1 , 904 , 43  
1 , 44 , 1 , 947 , 44  
1 , 45 , 1 , 991 , 45  
1 , 46 , 1 , 1036 , 46  
1 , 47 , 1 , 1082 , 47  
1 , 48 , 1 , 1129 , 48  
1 , 49 , 1 , 1177 , 49  
