1 , 0 , 1 , 10  
1 , 1 , 1 , 12  
1 , 2 , 1 , 14  
1 , 3 , 1 , 16  
1 , 4 , 1 , 18  
1 , 5 , 1 , 20  
1 , 6 , 1 , 22  
1 , 7 , 1 , 24  
1 , 8 , 1 , 26  
1 , 9 , 1 , 28  
1 , 10 , 1 , 30  
1 , 11 , 1 , 32  
1 , 12 , 1 , 34  
1 , 13 , 1 , 36  
1 , 14 , 1 , 38  
1 , 15 , 1 , 40  
1 , 16 , 1 , 42  
1 , 17 , 1 , 44  
1 , 18 , 1 , 46  
1 , 19 , 1 , 48  
1 , 20 , 1 , 50  
1 , 21 , 1 , 52  
1 , 22 , 1 , 54  
1 , 23 , 1 , 56  
1 , 24 , 1 , 58  
1 , 25 , 1 , 60  
1 , 26 , 1 , 62  
1 , 27 , 1 , 64  
1 , 28 , 1 , 66  
1 , 29 , 1 , 68  
1 , 30 , 1 , 70  
1 , 31 , 1 , 72  
1 , 32 , 1 , 74  
1 , 33 , 1 , 76  
1 , 34 , 1 , 78  
1 , 35 , 1 , 80  
1 , 36 , 1 , 82  
1 , 37 , 1 , 84  
1 , 38 , 1 , 86  
1 , 39 , 1 , 88  
1 , 40 , 1 , 90  
1 , 41 , 1 , 92  
1 , 42 , 1 , 94  
1 , 43 , 1 , 96  
1 , 44 , 1 , 98  
1 , 45 , 1 , 100  
1 , 46 , 1 , 102  
1 , 47 , 1 , 104  
1 , 48 , 1 , 106  
1 , 49 , 1 , 108  
