1 , 0 , 1 , 0 , 5000000  
1 , 1 , 1 , 1 , 5000000  
1 , 2 , 1 , 2 , 5000000  
1 , 3 , 1 , 3 , 5000000  
1 , 4 , 1 , 4 , 5000000  
1 , 5 , 1 , 5 , 5000000  
1 , 6 , 1 , 6 , 5000000  
1 , 7 , 1 , 7 , 5000000  
1 , 8 , 1 , 8 , 5000000  
1 , 9 , 1 , 9 , 5000000  
1 , 10 , 1 , 10 , 5000000  
1 , 11 , 1 , 11 , 5000000  
1 , 12 , 1 , 12 , 5000000  
1 , 13 , 1 , 13 , 5000000  
1 , 14 , 1 , 14 , 5000000  
1 , 15 , 1 , 15 , 5000000  
1 , 16 , 1 , 16 , 5000000  
1 , 17 , 1 , 17 , 5000000  
1 , 18 , 1 , 18 , 5000000  
1 , 19 , 1 , 19 , 5000000  
1 , 20 , 1 , 20 , 5000000  
1 , 21 , 1 , 21 , 5000000  
1 , 22 , 1 , 22 , 5000000  
1 , 23 , 1 , 23 , 5000000  
1 , 24 , 1 , 24 , 5000000  
1 , 25 , 1 , 25 , 5000000  
1 , 26 , 1 , 26 , 5000000  
1 , 27 , 1 , 27 , 5000000  
1 , 28 , 1 , 28 , 5000000  
1 , 29 , 1 , 29 , 5000000  
1 , 30 , 1 , 30 , 5000000  
1 , 31 , 1 , 31 , 5000000  
1 , 32 , 1 , 32 , 5000000  
1 , 33 , 1 , 33 , 5000000  
1 , 34 , 1 , 34 , 5000000  
1 , 35 , 1 , 35 , 5000000  
1 , 36 , 1 , 36 , 5000000  
1 , 37 , 1 , 37 , 5000000  
1 , 38 , 1 , 38 , 5000000  
1 , 39 , 1 , 39 , 5000000  
1 , 40 , 1 , 40 , 5000000  
1 , 41 , 1 , 41 , 5000000  
1 , 42 , 1 , 42 , 5000000  
1 , 43 , 1 , 43 , 5000000  
1 , 44 , 1 , 44 , 5000000  
1 , 45 , 1 , 45 , 5000000  
1 , 46 , 1 , 46 , 5000000  
1 , 47 , 1 , 47 , 5000000  
1 , 48 , 1 , 48 , 5000000  
1 , 49 , 1 , 49 , 5000000  
